sentence1,sentence2,condition,label
A girl kicking a soccer ball down the field against her opponents .,"An intense soccer game , with a boy about to kick the ball .",The gender of the persons.,4
A brown dog running to catch a Frisbee in a field of grass .,Two dogs are playing rough in a green field of grass .,The type of terrain.,5
A brown dog running to catch a Frisbee in a field of grass .,Two dogs are playing rough in a green field of grass .,The kind of animal.,4
A very agile bicyclist performing some stunts on a beautiful morning .,A young man is performing a bicycle jump on a ramp .,Time of the stunt.,4
A very agile bicyclist performing some stunts on a beautiful morning .,A young man is performing a bicycle jump on a ramp .,Acitvity of the person.,3
A red-haired girl is jumping in the air with a skateboard near her feet .,A teen doing a skateboard trick in front of a building .,The number of persons.,5
A red-haired girl is jumping in the air with a skateboard near her feet .,A teen doing a skateboard trick in front of a building .,The color of the hair.,2
"Two dogs in a rocky field , face to face , with a stick between them .","A pet dog , standing on bank is looking at another brown dog inside a pond .",The dog's interactions.,2
"Two dogs in a rocky field , face to face , with a stick between them .","A pet dog , standing on bank is looking at another brown dog inside a pond .",The number of dogs.,1
A small black and white dog is followed by a larger dog in a grassy yard .,A orange dog playing with a white ball on green grass .,The type of terrain.,2
A small black and white dog is followed by a larger dog in a grassy yard .,A orange dog playing with a white ball on green grass .,The color of the dog.,2
two woman at the side of the road with their umbrella 's .,A few umbrellas on a rainy day in a crowded area .,The presence of umbrella.,4
two woman at the side of the road with their umbrella 's .,A few umbrellas on a rainy day in a crowded area .,The number of persons.,1
A man reads a book while sitting in a laundry facility .,One young man waits patiently while doing his laundry in a small laundromat .,The number of the persons.,5
A man reads a book while sitting in a laundry facility .,One young man waits patiently while doing his laundry in a small laundromat .,The action of the person.,2
"Two men boxing , blue and red gloves , in front of the referee .",A boxer in red lands a glancing blow off of a boxer in white .,The type of sport.,4
"Two men boxing , blue and red gloves , in front of the referee .",A boxer in red lands a glancing blow off of a boxer in white .,The colors associated with the different boxers.,3
"Two dogs playing , one dog is jumping in the air above the second dog .",A large black dog relaxes while a small brown dog investigates nearby a doorway .,The number of feet on the ground.,5
"Two dogs playing , one dog is jumping in the air above the second dog .",A large black dog relaxes while a small brown dog investigates nearby a doorway .,The number of dogs.,5
The baseball player is catching a ball on the field .,The man is pitching a baseball on a dirt mound .,The type of sport.,5
The baseball player is catching a ball on the field .,The man is pitching a baseball on a dirt mound .,The action of the persons.,2
The hockey player in yellow is challenging the player in red for the ball .,Two soccer players on different teams collide in midair while jumping towards the ball .,Relationship between the players.,4
The hockey player in yellow is challenging the player in red for the ball .,Two soccer players on different teams collide in midair while jumping towards the ball .,Type of sport.,1
a boy wearing a red shirt rides a skateboard up a ramp,Young male in a hoodie is doing a skateboard stunt on a flight of stairs .,The sport.,5
a boy wearing a red shirt rides a skateboard up a ramp,Young male in a hoodie is doing a skateboard stunt on a flight of stairs .,The clothing.,2
A man using a newspaper to keep the rain off of himself .,Many people are walking and carrying umbrellas because it 's raining .,The weather.,5
A man using a newspaper to keep the rain off of himself .,Many people are walking and carrying umbrellas because it 's raining .,The item carried by the people.,1
A brown and white dog stands outside while it snows .,A white dog walks along a path which has a thin covering of snow flakes .,The type of precipitaion.,4
A brown and white dog stands outside while it snows .,A white dog walks along a path which has a thin covering of snow flakes .,The movement of the dog.,1
A man in a purple shirt plays a left handed Gibson Les Paul on stage .,The bassist wore jeans and a dark t-shirt while playing on stage .,Activity of person.,3
A man in a purple shirt plays a left handed Gibson Les Paul on stage .,The bassist wore jeans and a dark t-shirt while playing on stage .,Color of dress.,2
A person in a red and tan coat is snowboarding off a hill of snow .,A man skiing down a hill and over a red obstacle .,The type of terrain.,5
A person in a red and tan coat is snowboarding off a hill of snow .,A man skiing down a hill and over a red obstacle .,The type of sport.,4
A skateboarder does a turn at the top of a half-pipe covered in graffiti .,A man wearing a gray shirt is doing a skateboard trick on stairs .,The type of the riding object.,5
A skateboarder does a turn at the top of a half-pipe covered in graffiti .,A man wearing a gray shirt is doing a skateboard trick on stairs .,The color of the clothes.,2
A cowboy at a rodeo is roping a cow while riding a horse .,A cowgirl is lassoing a young white calf from the back of her brown horse .,The animal they are riding.,4
A cowboy at a rodeo is roping a cow while riding a horse .,A cowgirl is lassoing a young white calf from the back of her brown horse .,The gender of the person.,1
Two dogs are swimming in water whist carrying a stick .,A husky chasing a brown spoted dog at the shore .,The type of animal.,4
Two dogs are swimming in water whist carrying a stick .,A husky chasing a brown spoted dog at the shore .,The distance from the water.,1
A bicyclist is jumping on ramp covered with graffiti .,"on a gorges sunny day , young man doing a trick on a BMX bike .",The stunt type.,4
A bicyclist is jumping on ramp covered with graffiti .,"on a gorges sunny day , young man doing a trick on a BMX bike .",The vehicle type.,4
a lone surfboarder on a white surfboard flying through the air over a wave,A surfer on a surfboard getting ready to catch a wave .,The sport.,5
a lone surfboarder on a white surfboard flying through the air over a wave,A surfer on a surfboard getting ready to catch a wave .,The position of the surfboard.,2
Two men both wearing cowboy hats and ponchos riding horses chasing a cow .,A man on horseback in a rodeo arena is trying to lasso a black calf .,The activity.,5
Two men both wearing cowboy hats and ponchos riding horses chasing a cow .,A man on horseback in a rodeo arena is trying to lasso a black calf .,The animal is same.,5
People surfing and attempting to surf in the ocean on a big wave .,A man is doing a jump on the surfboard near other people in the water .,The item being used.,5
People surfing and attempting to surf in the ocean on a big wave .,A man is doing a jump on the surfboard near other people in the water .,The amount of people involved in the surfing.,3
A little boy in a striped shirt laying on his belly on a swing .,A little girl sitting on a swing on a playground .,The person's age.,4
A little boy in a striped shirt laying on his belly on a swing .,A little girl sitting on a swing on a playground .,The person's gender.,1
Two women with short hair and miniature hats put on a show in public .,These women look like Wiccans performing a ceremonial dance .,The gender of the persons.,5
Two women with short hair and miniature hats put on a show in public .,These women look like Wiccans performing a ceremonial dance .,The length of the hair.,1
"A crowd of adults , many drinking , socializing at a party",A lively party where most people are watching others dance .,The activity.,5
"A crowd of adults , many drinking , socializing at a party",A lively party where most people are watching others dance .,The number of person.,3
A woman in a surgical mask holds a very small baby .,A nurse placing a blanket around a newborn baby .,The age of the baby.,4
A woman in a surgical mask holds a very small baby .,A nurse placing a blanket around a newborn baby .,The type of fabric.,2
A professional wheelchair race with a clear leader in lane 6 .,A athlete runs across the racing lanes on a track .,The activity location.,4
A professional wheelchair race with a clear leader in lane 6 .,A athlete runs across the racing lanes on a track .,The means of momentum.,2
A black dog shakes itself dry on the beach in front of the waves .,A small brown dog plays with a ball on the beach .,The number of animals.,5
A black dog shakes itself dry on the beach in front of the waves .,A small brown dog plays with a ball on the beach .,The color.,1
"A small group of three boys and two girls , is standing on the beach near the water .",A woman is walking along the beach with three children following behind her .,The number of persons.,4
"A small group of three boys and two girls , is standing on the beach near the water .",A woman is walking along the beach with three children following behind her .,The place.,3
A man pushes a bicycle along the beach as the sun sets behind him .,"A man stands on one leg while lifting the other leg high , on a beach , at sunset .",The setting.,5
A man pushes a bicycle along the beach as the sun sets behind him .,"A man stands on one leg while lifting the other leg high , on a beach , at sunset .",The person's stance.,1
three multicolored dogs standing in a grassy field,Two black dogs and one brown dog in tall grass .,The number of dogs.,4
three multicolored dogs standing in a grassy field,Two black dogs and one brown dog in tall grass .,The color of the dogs.,2
A red-haired child in snow gear holding a newborn baby goat .,A girl wearing a navy blue sweatshirt is feeding a brown and white goat .,The type of animal.,5
A red-haired child in snow gear holding a newborn baby goat .,A girl wearing a navy blue sweatshirt is feeding a brown and white goat .,The action of the person.,1
A big dog and a little dog stand near each other near the water .,Two white dogs run on the grass next to a road .,The number of animals.,5
A big dog and a little dog stand near each other near the water .,Two white dogs run on the grass next to a road .,The animal's speed.,1
Four dogs two brown and two white playing in the grass .,A brown and white dog is jumping high and catching a blue ball .,The species of animal.,4
Four dogs two brown and two white playing in the grass .,A brown and white dog is jumping high and catching a blue ball .,The number of animals.,1
Two dogs play in the surf and one has a red ball .,A black dog is looking at the ball on the beach by the ocean .,The species of animal.,5
Two dogs play in the surf and one has a red ball .,A black dog is looking at the ball on the beach by the ocean .,The number of dogs.,1
The skier is airborne after going off the ramp .,People are watching a skier perform a trick in the air .,The intention of the rider.,5
The skier is airborne after going off the ramp .,People are watching a skier perform a trick in the air .,The means of elevation.,2
A baseball player in the act of pick up a baseball with his hand .,A baseball pitcher with Shelton on his shirt throws the ball .,The sport.,5
A baseball player in the act of pick up a baseball with his hand .,A baseball pitcher with Shelton on his shirt throws the ball .,The hand action.,4
A worker man hanging from a stack of metal bars .,A construction worker is balancing on some scaffolding .,The object are activity.,4
A worker man hanging from a stack of metal bars .,A construction worker is balancing on some scaffolding .,The actions.,1
A man in a red tee-shirt steers his bicycle-like vehicle on a street in Santo Domingo .,An older hispanic man in a white hat sits on a cart being pulled by donkey on a rustic road .,Gender.,5
A man in a red tee-shirt steers his bicycle-like vehicle on a street in Santo Domingo .,An older hispanic man in a white hat sits on a cart being pulled by donkey on a rustic road .,Source of vehicle's power.,4
A white and a brown dog running through a grassy area .,A dog with all fours up in the air above the clover-filled grass .,The speed of the dog.,1
A white and a brown dog running through a grassy area .,A dog with all fours up in the air above the clover-filled grass .,The number of dogs.,1
A little boy sits on a slide on the playground .,A baby in blue pants is sitting on a red slide .,The person's age.,3
A little boy sits on a slide on the playground .,A baby in blue pants is sitting on a red slide .,The person's posture.,1
A brown and white dog has caught a yellow ball in a grassy field surrounded by trees .,A golden dog is running across the grass chasing a white toy on the ground .,Type of animal.,5
A brown and white dog has caught a yellow ball in a grassy field surrounded by trees .,A golden dog is running across the grass chasing a white toy on the ground .,Color of the toy.,4
A man wearing a red helmet jumps up while riding a skateboard .,A skateboarder flies through the air by the side of the road .,The action.,4
A man wearing a red helmet jumps up while riding a skateboard .,A skateboarder flies through the air by the side of the road .,The speed.,4
"A man in a striped shirt , conducting a chorus for practice .",a choir of men and woman being separated with men on the left and woman on the right .,The name of the art.,4
"A man in a striped shirt , conducting a chorus for practice .",a choir of men and woman being separated with men on the left and woman on the right .,The number of people.,3
A dental technician is completing a procedure on a patient .,Two surgeons in blue scrubs operate on a patient .,Type of activity.,4
A dental technician is completing a procedure on a patient .,Two surgeons in blue scrubs operate on a patient .,Education level.,2
It is snowing and there are a lot of people skiing outside .,A man skis past another man displaying paintings in the snow .,The weather.,3
It is snowing and there are a lot of people skiing outside .,A man skis past another man displaying paintings in the snow .,The number of riders.,1
A dog with a red collar and its tongue hanging out runs through tall grass .,Two dogs are playing rough in a green field of grass .,The name of the place.,4
A dog with a red collar and its tongue hanging out runs through tall grass .,Two dogs are playing rough in a green field of grass .,The number of dogs.,4
A black dog caught in mid-jump catching a toy in his mouth .,"A black dog runs in the grass , its tongue hanging out .",The color of the animal.,5
A black dog caught in mid-jump catching a toy in his mouth .,"A black dog runs in the grass , its tongue hanging out .",The shape of the mouth.,4
A person wearing a red coat snowboards down a snowy hill .,a lone snowboarder jumpy in the air on a snowy mountain,The person's hobby.,5
A person wearing a red coat snowboards down a snowy hill .,a lone snowboarder jumpy in the air on a snowy mountain,The person relative to the ground.,2
A small dog lands on a big dog trying to get a disc .,A brown and white dog stands on the sand to look at another dog .,The number of animals.,4
A small dog lands on a big dog trying to get a disc .,A brown and white dog stands on the sand to look at another dog .,The color of animals.,3
Two male soccer players on opposing team attempt to jump and knock each other over .,Two young men playing soccer on a sunny day are jumping for the soccer ball .,The sport being played.,5
Two male soccer players on opposing team attempt to jump and knock each other over .,Two young men playing soccer on a sunny day are jumping for the soccer ball .,The reason for jumping.,1
People at a rodeo are watching a cowboy getting thrown from the bull .,The horse and rider are both on the ground at the rodeo .,Type of event.,5
People at a rodeo are watching a cowboy getting thrown from the bull .,The horse and rider are both on the ground at the rodeo .,Type of animal.,4
One man in an orange shirt wearing a white helmet is riding a bike .,The man is riding a bicycle through the forest .,The type of vehicle.,5
One man in an orange shirt wearing a white helmet is riding a bike .,The man is riding a bicycle through the forest .,The type of ride.,4
A man jumps over another man doing a back flip .,The man is performing a trick off a ramp with a bicycle .,The action of the people.,3
A man jumps over another man doing a back flip .,The man is performing a trick off a ramp with a bicycle .,The sentiment of the person.,3
A man with a tattoo behind his ear is playing a guitar .,A man is playing a small guitar-like instrument and singing into a microphone .,The number of people.,5
A man with a tattoo behind his ear is playing a guitar .,A man is playing a small guitar-like instrument and singing into a microphone .,The instrument.,4
A black and white dog running from under a yellow cover with a person behind them .,A small dog with a ball in its mouth running through a course .,The dog's speed.,5
A black and white dog running from under a yellow cover with a person behind them .,A small dog with a ball in its mouth running through a course .,The dog's level of training.,3
A skier is attempting a turn in a patch of deep snow pack .,A man with an orange jacket and blue hat climbing a snowy mountain .,Weather condition.,5
A skier is attempting a turn in a patch of deep snow pack .,A man with an orange jacket and blue hat climbing a snowy mountain .,Direction of movement.,3
"In a football match , a Panthers player falls forward into a somersault while gripping the football .",A football player is tackling another football player of the opposing team .,Type of sport.,5
"In a football match , a Panthers player falls forward into a somersault while gripping the football .",A football player is tackling another football player of the opposing team .,Type of interaction between players.,5
A skateboarder casts a shadow jumping down stairs .,A person wearing rollerblades is skating along side a railing .,The body posture.,3
A skateboarder casts a shadow jumping down stairs .,A person wearing rollerblades is skating along side a railing .,The sentiment of the people.,1
A small brown dog plays with a ball on the beach .,A white dog runs in the surf with his mouth open,The number of animals.,5
A small brown dog plays with a ball on the beach .,A white dog runs in the surf with his mouth open,The color of the animals.,2
An upside down man in a black shirt with red wristbands .,"A young man in a grassy park caught midair , upside down in the middle of flip .",The person's spatial orientation.,5
An upside down man in a black shirt with red wristbands .,"A young man in a grassy park caught midair , upside down in the middle of flip .",The person's wrist-wear.,1
A young man performs a skateboard trick over some stairs .,A skater is jumping down a huge staircase on his board .,The sport.,5
A young man performs a skateboard trick over some stairs .,A skater is jumping down a huge staircase on his board .,The trick.,4
A young man in the street doing a skateboard trick .,A skateboarding soaring through the air in front of a blue building .,Type of vehicle.,5
A young man in the street doing a skateboard trick .,A skateboarding soaring through the air in front of a blue building .,Height of man.,1
A little girl in pink clothes holding yellow rods .,A young girl wearing a snoopy hat and purple shirt stands smiling .,Gender.,4
A little girl in pink clothes holding yellow rods .,A young girl wearing a snoopy hat and purple shirt stands smiling .,Color of clothes.,3
A person rides their bicycle onto a rock and balances on one wheel .,person wearing a helmet on a four wheeled bike in air,The number of persons.,3
A person rides their bicycle onto a rock and balances on one wheel .,person wearing a helmet on a four wheeled bike in air,The type of the vehicle.,3
"A child , backlit by the sun , jumping in the air , with the ocean in the background .",Young woman in summer clothes jumping up and down on rocky shoreline .,The people's pose.,4
"A child , backlit by the sun , jumping in the air , with the ocean in the background .",Young woman in summer clothes jumping up and down on rocky shoreline .,The rockiness of the ground.,2
A child with shoulder-length brown hair is playing in water outdoors .,A little boy in his clothes running through a fountain and getting soaked .,The size of the children.,4
A child with shoulder-length brown hair is playing in water outdoors .,A little boy in his clothes running through a fountain and getting soaked .,The number of children.,4
The dog is shaking off his fur in front of the water .,Two dogs play in the surf and one has a red ball .,The number of dogs.,2
The dog is shaking off his fur in front of the water .,Two dogs play in the surf and one has a red ball .,The wetness of the dogs.,1
A cowboy riding a bucking bronco at a rodeo in front of a crowd .,Two men on horses chasing an animal at a rodeo .,The type of event.,3
A cowboy riding a bucking bronco at a rodeo in front of a crowd .,Two men on horses chasing an animal at a rodeo .,The number of people.,1
A man trying to cross the street with a cart of fruit .,A man pulls a bicycle-driven cart through a city alley .,The object.,4
A man trying to cross the street with a cart of fruit .,A man pulls a bicycle-driven cart through a city alley .,The place.,2
A man is riding a BMX bike with a forest in the background .,A man in a red outfit jumps his motocross bike down the hill .,Activity of man.,2
A man is riding a BMX bike with a forest in the background .,A man in a red outfit jumps his motocross bike down the hill .,Outfit of man wearing.,2
White medium sized dog is running through the ocean .,Dog is swimming through water with a piece of wood in its mouth .,The type of animal.,5
White medium sized dog is running through the ocean .,Dog is swimming through water with a piece of wood in its mouth .,The water's depth.,4
Two sets of children are practicing martial arts while a crowd watches behind them .,Six people wearing white karate attire kicking their right legs out .,The action of players.,5
Two sets of children are practicing martial arts while a crowd watches behind them .,Six people wearing white karate attire kicking their right legs out .,The number of people.,1
Two large dogs are playing in a large grassy area .,a black and a white dog play with a rope toy in a backyard,The number of dogs.,3
Two large dogs are playing in a large grassy area .,a black and a white dog play with a rope toy in a backyard,The number of toys.,1
A young boy splashes down a water slide on a lawn .,A boy in a black swimsuit playing near the water .,The sex of the person.,5
A young boy splashes down a water slide on a lawn .,A boy in a black swimsuit playing near the water .,The position of the person.,1
"A blond man with a light beard , wearing a dark , short-sleeved shirt , bundles wheat .",A man in a field is carrying two bundles of straw on a stick across his shoulder .,The person's occupation.,5
"A blond man with a light beard , wearing a dark , short-sleeved shirt , bundles wheat .",A man in a field is carrying two bundles of straw on a stick across his shoulder .,The items collected.,2
Customers are shopping for produce at a farmer 's market .,A brunette is outside a fruit and vegetable shop selecting groceries to purchase .,The nature of the place.,3
Customers are shopping for produce at a farmer 's market .,A brunette is outside a fruit and vegetable shop selecting groceries to purchase .,The number of persons.,2
one gray puddle jumping in the air in front of another tan dog,Three dogs chase and wrestle together on a dirt field .,The type of animal.,4
one gray puddle jumping in the air in front of another tan dog,Three dogs chase and wrestle together on a dirt field .,The number of dogs.,1
A football player running with the ball is being tackled by his opponent .,Football player in black and yellow avoiding tackles by three players in red .,The type of sport.,5
A football player running with the ball is being tackled by his opponent .,Football player in black and yellow avoiding tackles by three players in red .,The motion of the players.,4
A punk wearing a white T-shirt is performing tricks on his skateboard .,a boy in a white shirt and green helmet is riding a skateboard down some steps .,The color of the shirt.,5
A punk wearing a white T-shirt is performing tricks on his skateboard .,a boy in a white shirt and green helmet is riding a skateboard down some steps .,The way the skateboard is being used.,2
People are watching a snowboarder perform a trick in the air .,A snowboarder in green pants boards down a snowy mountain .,The profession of the persons.,5
People are watching a snowboarder perform a trick in the air .,A snowboarder in green pants boards down a snowy mountain .,The color of the outfit.,4
a surfer is riding the waves whilst another surfer sits on his board waiting .,A boy in red shorts rides a yellow bodyboard on a breaking wave .,The activity level.,4
a surfer is riding the waves whilst another surfer sits on his board waiting .,A boy in red shorts rides a yellow bodyboard on a breaking wave .,The skill level of the subject.,2
A young boy laughs while splashing in the ocean .,Two young boys are playing in the sand near the ocean .,The place of activity.,5
A young boy laughs while splashing in the ocean .,Two young boys are playing in the sand near the ocean .,The number of person.,3
A motorcycle rider is jumping in the air while someone in the background is watching .,A person with a helmet and googles on is riding a motorcycle in the dirt .,The number of the persons.,5
A motorcycle rider is jumping in the air while someone in the background is watching .,A person with a helmet and googles on is riding a motorcycle in the dirt .,The type of ride.,5
A batter swinging at a pitch with a catcher preparing to receive the pitch .,"Two baseball players on a field , with four spectators , and a crowd .",The game being played.,3
A batter swinging at a pitch with a catcher preparing to receive the pitch .,"Two baseball players on a field , with four spectators , and a crowd .",The positions the players are playing.,2
A boy makes a jump with a dirt bike with the sun setting behind him .,A young man flies through the air in a no hands stunt on a bike .,The number of persons.,5
A boy makes a jump with a dirt bike with the sun setting behind him .,A young man flies through the air in a no hands stunt on a bike .,The type of the vehicle.,5
A guy in a yellow shirt with a bike gets very high in the air .,A man in a yellow shirt is trying to perform a trick on a bicycle .,The person's shirt color.,5
A guy in a yellow shirt with a bike gets very high in the air .,A man in a yellow shirt is trying to perform a trick on a bicycle .,The person's intentions.,2
"The big , black , running dog is wearing a strap around its chest .",A black dog walking in dirt has a soccer ball in his mouth .,The size of animal.,3
"The big , black , running dog is wearing a strap around its chest .",A black dog walking in dirt has a soccer ball in his mouth .,The color of animal.,3
A man is performing some sort of snow skiing trick .,a skier is throwing up snow as he skis off piste .,The sport.,5
A man is performing some sort of snow skiing trick .,a skier is throwing up snow as he skis off piste .,The body position.,2
A little boy is playing with his dog in the backyard as the snow melts .,A brown dog carrying a Frisbee runs through the snow .,The color of animal.,4
A little boy is playing with his dog in the backyard as the snow melts .,A brown dog carrying a Frisbee runs through the snow .,The color is white.,1
"There is a child on a sled type machine , in the snow .",A skier is coming down the slope and stirring up a lot of snow behind him .,The weather.,5
"There is a child on a sled type machine , in the snow .",A skier is coming down the slope and stirring up a lot of snow behind him .,The age of the person.,1
A man is pulling a group of children in a horse-drawn cart past stone buildings .,Tourists riding on a wagon with brown and white horses are sight seeing .,The type of animal.,5
A man is pulling a group of children in a horse-drawn cart past stone buildings .,Tourists riding on a wagon with brown and white horses are sight seeing .,The number of animals.,2
Man in a green jacket riding a green ATV in the desert .,A guy wearing a motorcycle helmet is riding an ATV on a sandy road .,The type of vehicle.,5
Man in a green jacket riding a green ATV in the desert .,A guy wearing a motorcycle helmet is riding an ATV on a sandy road .,The type of clothing.,1
A person on a bicycle jumping over a dirt hill .,a man wearing a red uniform rides his bicycle up a rocky hill,The vehicle used.,5
A person on a bicycle jumping over a dirt hill .,a man wearing a red uniform rides his bicycle up a rocky hill,The orientation spatially.,2
A man is standing in a grassy field equipped with a type of gardening tool which he is using on the grass .,Two guys working in a field with plants behind a tractor playing plants as it moves along .,The person's occupation.,4
A man is standing in a grassy field equipped with a type of gardening tool which he is using on the grass .,Two guys working in a field with plants behind a tractor playing plants as it moves along .,The number of workers.,1
A skateboarding soaring through the air in front of a blue building .,A man in a red shirt is performing an aerial trick with a skateboard on a sidewalk .,Speed of person.,5
A skateboarding soaring through the air in front of a blue building .,A man in a red shirt is performing an aerial trick with a skateboard on a sidewalk .,Type of vehicle.,2
A person in purple shorts riding a bike up a mountain .,A man wearing a helmet is riding his bike down rocky terrain .,The absence of the helmet.,4
A person in purple shorts riding a bike up a mountain .,A man wearing a helmet is riding his bike down rocky terrain .,The type of the vehicle.,4
A man in a black jacket pole-vaulting on the beach .,A person wearing a white shirt and black pans is jumping of a riff .,The number of persons.,5
A man in a black jacket pole-vaulting on the beach .,A person wearing a white shirt and black pans is jumping of a riff .,The color of the outfit.,3
A spotlight shines down on a guitarist win a black shirt at a concert .,man playing a fiddle on stage with other band members .,The presence of music.,4
A spotlight shines down on a guitarist win a black shirt at a concert .,man playing a fiddle on stage with other band members .,The type of intrument.,2
A baby washing a spoon in the sink with food all over him .,A baby is holding a cup and playing with a toy watering can .,The person's age.,5
A baby washing a spoon in the sink with food all over him .,A baby is holding a cup and playing with a toy watering can .,The person's attentions.,3
"The two dogs , one of which is leaping in the air , are chasing a ball outdoors .",The white and brown dog is running quickly through the grass .,The type of animal.,5
"The two dogs , one of which is leaping in the air , are chasing a ball outdoors .",The white and brown dog is running quickly through the grass .,The number of animals.,3
The umpire is judging a baseball move to decide if there was a score or an out .,A man playing at a baseball game who has just hit the bat .,The game played.,4
The umpire is judging a baseball move to decide if there was a score or an out .,A man playing at a baseball game who has just hit the bat .,The position played.,1
A snowboarder jumps high over snow in mountain area .,Two snowboarders are suspended in midair after a jump from a snow slope .,The type of sport played.,5
A snowboarder jumps high over snow in mountain area .,Two snowboarders are suspended in midair after a jump from a snow slope .,The number of people.,1
A girl in a floral bathing suit jumping on the beach in front of the waves .,A young girl stands on some rocks staring at the ocean .,The sex of the person.,5
A girl in a floral bathing suit jumping on the beach in front of the waves .,A young girl stands on some rocks staring at the ocean .,The motion of the person.,4
A guy with curly hair is skateboarding along a gray ramp with yellow letters .,"A shirtless male is riding a skateboard , performing a trick .",The sport being played.,5
A guy with curly hair is skateboarding along a gray ramp with yellow letters .,"A shirtless male is riding a skateboard , performing a trick .",The action of the person.,3
A black dog with a red collar is jumping in the water .,A black lab runs headlong into a lake surrounded by farmland .,The color of animal.,5
A black dog with a red collar is jumping in the water .,A black lab runs headlong into a lake surrounded by farmland .,The activity.,4
A person wearing skis looking at framed pictures set up in the snow .,A man with ski poles and a large camping backpack treks through the snow .,The type of sporting gear.,3
A person wearing skis looking at framed pictures set up in the snow .,A man with ski poles and a large camping backpack treks through the snow .,The type of terrain.,3
Woman walk up an alley with shuttered property on one side .,A group of people are in front of a t-shirt shop in an alley .,The type of street.,4
Woman walk up an alley with shuttered property on one side .,A group of people are in front of a t-shirt shop in an alley .,The number of people.,3
A small dogs ears stick up as it runs in the grass .,A dog is lying in the grass with a body of water beside him .,Type of animal.,5
A small dogs ears stick up as it runs in the grass .,A dog is lying in the grass with a body of water beside him .,Speed of animal.,1
The light colored dog is chasing after a toy outdoors .,The white dog is playing in a green field with a yellow toy .,The animal.,5
The light colored dog is chasing after a toy outdoors .,The white dog is playing in a green field with a yellow toy .,The color.,3
A little white and brown dog is running in the water .,Three dogs in different shades of brown are playing in the water .,The type of animal.,5
A little white and brown dog is running in the water .,Three dogs in different shades of brown are playing in the water .,The distance covered by the dogs.,2
A group of race horses run down a track carrying jockeys .,A jockey is riding a camel draped with an American flag down a track .,The type of occupation.,4
A group of race horses run down a track carrying jockeys .,A jockey is riding a camel draped with an American flag down a track .,The type of animal.,4
"A young child with blond-hair , wearing a blue shirt and jeans is walking in the woods .",A man holding a baby on his chest walks a child across a fallen tree .,The number of people.,3
"A young child with blond-hair , wearing a blue shirt and jeans is walking in the woods .",A man holding a baby on his chest walks a child across a fallen tree .,The type of exercise.,3
Motorcycles providing transportation for courageous women .,Two woman ride a bicycle together as they pass a painting on a wall .,The method of transportation.,2
Motorcycles providing transportation for courageous women .,Two woman ride a bicycle together as they pass a painting on a wall .,The number of women.,2
A young boy wearing a military sunhat catches a Frisbee outdoors .,"A boy is running through the yard happily , carrying a john deere toy tractor .",The type of person.,4
A young boy wearing a military sunhat catches a Frisbee outdoors .,"A boy is running through the yard happily , carrying a john deere toy tractor .",The type of toy.,1
A group of firefighters are walking down a street .,Firemen stand outside a burning building with lots of smoke .,The position of the feet.,5
A group of firefighters are walking down a street .,Firemen stand outside a burning building with lots of smoke .,The occupation.,5
Men dressed in red and men dressed in white are playing a game of soccer .,Soccer players are shaking each others hands on the soccer field .,The type of sport.,4
Men dressed in red and men dressed in white are playing a game of soccer .,Soccer players are shaking each others hands on the soccer field .,The color of the dress.,3
Long-haired dog moves quickly beneath two poles .,A brown dog with a blue bandanna is jumping over grass .,The type of animal.,5
Long-haired dog moves quickly beneath two poles .,A brown dog with a blue bandanna is jumping over grass .,The color of the dog.,3
An adolescent skateboards at the skate park on the beach in front of onlookers .,a skateboarder is airborne in front of some low brick buildings .,The speed of the skateboarder.,2
An adolescent skateboards at the skate park on the beach in front of onlookers .,a skateboarder is airborne in front of some low brick buildings .,The location.,1
A person on a bike rides through a dirt course near the water .,One biker wearing a black helmet riding on a dirt hill .,The vehicle used.,4
A person on a bike rides through a dirt course near the water .,One biker wearing a black helmet riding on a dirt hill .,The closeness to water.,1
Performers making music on a guitar and keyboard .,A woman with a black t-shirt and hat is playing the keyboard .,The instruments.,5
Performers making music on a guitar and keyboard .,A woman with a black t-shirt and hat is playing the keyboard .,The art.,4
A man and woman are among others who are dancing during a street parade .,A hispanic women in bright colors all dressed up for a parade .,The type of entertainment.,4
A man and woman are among others who are dancing during a street parade .,A hispanic women in bright colors all dressed up for a parade .,The number of people.,3
"A person in blue climbs up a very tall cliff , attached by red and blue ropes .",A woman wearing a pink shirt and a blue helmet is rock climbing .,The obstacle travelled on.,5
"A person in blue climbs up a very tall cliff , attached by red and blue ropes .",A woman wearing a pink shirt and a blue helmet is rock climbing .,The person's hobby.,4
Male skateboarder jumping over steps during dusk .,A man in a black shirt and glasses is skateboarding .,The activity performed.,4
Male skateboarder jumping over steps during dusk .,A man in a black shirt and glasses is skateboarding .,The elevation.,3
The man is riding a bicycle through the forest .,A bicyclist in blue goes up a hill by the woods .,The object.,5
The man is riding a bicycle through the forest .,A bicyclist in blue goes up a hill by the woods .,The place.,5
A line of people are making their way through snow covered mountains .,The person is standing by the water in front of the snow topped mountains .,The color of the mountains.,4
A line of people are making their way through snow covered mountains .,The person is standing by the water in front of the snow topped mountains .,The number of people.,2
A child stoops to the sidewalk to pick up his toy phone .,A young Indian child holds a doll along a fence .,The age group of person.,4
